Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost","Shipping Groups","Origin Locations","Dimensional Rules",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Image,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/206/images/562/HPTuners_-_Chevrolet_Camaro_V6__88063.1729227691.386.513.jpg?c=1,,,FALSE,0,,,,
Image,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/206/images/857/Camaro_V6__13558.1729227691.386.513.png?c=1,,,TRUE,1,,,,
Product,207,"Módulo S300 Hondata V3 bluetooth OBD1",physical,HONDATAS300V3,,none,5,1,14600.00,0.00,0.00,13140.00,45,1;769857,256;277,"<p align=""justify"">El s300 versi&oacute;n 3 es un m&oacute;dulo de conexi&oacute;n a la computadora de motor Honda OBD1 de f&aacute;brica (no incluida) para veh&iacute;culos de transmisi&oacute;n manual que ampl&iacute;a enormemente las capacidades de la ECU de f&aacute;brica. La inducci&oacute;n forzada, el registro de datos, la programaci&oacute;n en tiempo real, el Bluetooth y la protecci&oacute;n del motor son solo algunas de las caracter&iacute;sticas integrales del s300.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Honda Civic 1992-2001</li>
<li>Honda Prelude 1992-2000</li>
<li>Acura&nbsp;Integra 1992-2000</li>
</ul>",,,/modulo-s300-hondata-v3-bluetooth-obd1/,,"Reprogramacion Tuning Hondata FlashPro",,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/207/images/563/Hondata_S300__27958.1729227691.386.513.jpg?c=1,,,TRUE,0,,,,
Product,208,"Reprogramación Multimapa Cupra Leon 265 2.0T/290 MQB 2.0T",physical,ETSEATMQB20,,none,5,1,25200.00,0.00,0.00,22680.00,64,1;769857,299;263,"<p style=""text-align: justify;"" align=""justify"">Reprogramaci&oacute;n de ECU de motor y TCM para transmisi&oacute;n para mejora de combustible, ignici&oacute;n, nivel de presi&oacute;n de turbo y limitadores. Adicionalmente se a&ntilde;aden las siguientes funciones:</p>
<ul style=""text-align: justify;"">
<li>Cambio de 4 Mapas en Tiempo Real</li>
<li>Launch Control con Mayor Presi&oacute;n de Turbo</li>
<li>Diferente Presi&oacute;n de Turbo o Torque dependiendo del Mapa seleccionado</li>
<li>Mapas de FlexFuel para Utilizar Etanol</li>
<li>Pops N' Bangs o Flamas</li>
</ul>
<p style=""text-align: justify;"" align=""justify"">Aplicaciones:</p>
<ul>
<li style=""text-align: justify;"">Skoda Superb, Octavia RS, Kodiaq 1.8T/2.0T 2014-2021</li>
<li style=""text-align: justify;"">Seat Leon Cupra 265/290, Cupra R, Ateca Cupra &amp; Leon FR 1.8T/2.0T 2014-2021</li>
</ul>",,,/reprogramacion-multimapa-cupra-leon-265-2-0t-290-mqb-2-0t/,,"Reprogramacion Tuning EcuTek RaceROM Seat Leon Cupra Ateca",,,,,,FALSE,0.00,,,,0.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/208/images/901/Cupra_Leon_290__53974.1729227692.386.513.png?c=1,,,FALSE,0,,,,
Image,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/208/images/935/Cupra_Leon_290_2__73139.1729227692.386.513.jpg?c=1,,,TRUE,1,,,,
Product,209,"Reprogramación BMW Serie 1 Chasis F 1.6T/2.0T",physical,DPBMWS1,,none,5,1,11900.00,0.00,0.00,10710.00,69,1;769857,268,"<p align=""justify"">Reprogramaci&oacute;n de ECU para la mejora de combustible, ignici&oacute;n, nivel de presi&oacute;n de turbo y limitadores 100% personalizada de acuerdo a las modificaciones de tu coche.</p>
<p>Aplicaciones:</p>
<ul>
<li>BMW Serie 1 Chasis F 4L 1.6T/2.0T 2011-2021</li>
</ul>",,,/reprogramacion-bmw-serie-1-chasis-f-1-6t-2-0t/,,"Reprogramacion Tuning Stage 1 Stage 2",,,,,,FALSE,0.00,,,,0.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/209/images/566/Autotuner_-_BMW_120i__10272.1729227692.386.513.jpg?c=1,,,FALSE,0,,,,
Image,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/209/images/924/BMW_Serie_1_F__55009.1729227692.386.513.jpg?c=1,,,TRUE,1,,,,
Product,210,"Cofre de fibra de carbono BMW F20/F22/F87 M2",physical,HD11BMWF20-DV,,product,2,1,47970.00,0.00,0.00,42640.00,75,1;769857,245;300,"<p style=""text-align: justify;"">Los componentes Seibon Carbon est&aacute;n cuidadosamente hechos a mano utilizando solo los mejores materiales. Nuestro equipo de producci&oacute;n ofrece una artesan&iacute;a superior con m&aacute;s de 15 a&ntilde;os de experiencia trabajando con fibra de carbono.</p>
<p style=""text-align: justify;"">Cada componente est&aacute; construido con un patr&oacute;n de tejido consistente. Nuestros procesos de producci&oacute;n permiten una proporci&oacute;n excepcional de carbono/resina, creando una alta rigidez del producto que tambi&eacute;n conduce a una mayor resistencia. Para un acabado impresionante, nuestros productos est&aacute;n recubiertos con una capa transparente brillante que no se astilla ni se descascara. Inspeccionamos meticulosamente todos nuestros componentes y respaldamos firmemente nuestros productos para que pueda disfrutar de la tranquilidad con cada producto genuino de Seibon Carbon.</p>
<p style=""text-align: justify;"">Nuestra especialidad es crear productos orientados al rendimiento que ayuden a perder peso innecesario sin sacrificar el estilo. Carrera tras carrera, los productos Seibon han demostrado ser tan fuertes como la ambici&oacute;n de ganar del conductor, lo que convierte a Seibon Carbon en la marca preferida entre los conductores profesionales.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>BMW F20/F22 2014-2021</li>
<li>BMW F87 M2 2015-2022</li>
</ul>",,,/cofre-de-fibra-de-carbono-bmw-f20-f22-f87-m2/,,,,,,,,FALSE,2000.00,,,,20.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/210/images/567/HD11BMWF20-DV_2__44900.1729227692.386.513.jpg?c=1,,,FALSE,1,,,,
Image,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/210/images/568/HD11BMWF20-DV_4__68209.1729227693.386.513.jpg?c=1,,,FALSE,3,,,,
Image,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/210/images/569/HD11BMWF20-DV_1__88171.1729227693.386.513.jpg?c=1,,,TRUE,0,,,,
Image,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/210/images/570/HD11BMWF20-DV_3__95430.1729227693.386.513.jpg?c=1,,,FALSE,2,,,,
Product,211,"Intercooler BMW Serie F B48 2.0T/B58 3.0T",physical,8131,,product,2,1,14810.00,0.00,0.00,13330.00,76,1;769857,245,"<p style=""text-align: justify;"">La b&uacute;squeda de CSF por lograr la perfecci&oacute;n en el enfriamiento contin&uacute;a con mejoras en el intercambiador de calor de alto rendimiento The Ultimate BMW B58. En octubre de 2019, CSF lanz&oacute; una nueva y mejorada ""Versi&oacute;n 2.0"" del intercambiador de calor BMW B58. Las mejoras incluyen las siguientes tres (3) actualizaciones clave:</p>
<ul>
<li style=""text-align: justify;"">Dise&ntilde;o de entrada/salida mejorado con nuevos puntos de entrada y salida c&oacute;nicos desde los tanques finales, lo que da como resultado un flujo de agua optimizado y un mayor rendimiento (coincide con las especificaciones del OEM).</li>
<li style=""text-align: justify;"">Despu&eacute;s de un extenso t&uacute;nel de viento, dinam&oacute;metro (prueba de carretera rodante) y pruebas de campo, los ingenieros de CSF han mejorado las especificaciones del n&uacute;cleo del n&uacute;cleo de 2 filas de 68 mm de la Versi&oacute;n 1 con una altura de aleta de 8 mm al n&uacute;cleo de 2 filas ultra eficiente de 42 mm de la Versi&oacute;n 2, con Tecnolog&iacute;a de tubo B de CSF y altura de aleta de m&uacute;ltiples persianas de 6,5 mm.</li>
<li style=""text-align: justify;"">Aumento de un 15 % m&aacute;s de tubos de refrigeraci&oacute;n utilizados en el dise&ntilde;o del n&uacute;cleo frente al V1 para una mejor superficie de contacto y disipaci&oacute;n del calor.</li>
<li style=""text-align: justify;"">Da como resultado un flujo de aire optimizado a trav&eacute;s del n&uacute;cleo del intercambiador de calor y hacia otros componentes del sistema de enfriamiento para un rendimiento m&aacute;ximo de todo el sistema de enfriamiento. (Especialmente cr&iacute;tico si se instala en un modelo X-Drive con enfriador de aceite de transmisi&oacute;n colocado frente al intercambiador de calor).</li>
<li style=""text-align: justify;"">Dise&ntilde;o CSF ​​V2: n&uacute;cleo de 42 mm de 2 filas frente al dise&ntilde;o OEM: n&uacute;cleo de 26 mm de 1 fila. ~62% de aumento en la capacidad de fluido del n&uacute;cleo.</li>
</ul>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>BMW 120i, 125i, M140i(x) (F20) 2015-2018</li>
<li>BMW 120i, 125i, M140i(x) (F21) 2015-2018</li>
<li>BMW 220i, 230i(x), M240i(x) (F22) 2015-2018</li>
<li>BMW 220i, 230i(x), M240i(x) (F23) 2015-2018</li>
<li>BMW 320i(x), 330e, 330i(x), 340i(x) (F30) 2015-2018</li>
<li>BMW 320i(x), 330i(x), 340i(x) (F31) 2015-2018</li>
<li>BMW 320i(x) GT, 330i(x) GT, 340i(x) GT (F34) 2015-2018</li>
<li>BMW 420i(x), 430i(x), 440i(x) (F32) 2015-2018</li>
<li>BMW 420i, 430i(x), 440i(x) (F33) 2015-2018</li>
<li>BMW 420i(x), 430i(x), 440i(x) Gran Coupe (F36) 2015-2018</li>
</ul>",,,/intercooler-de-agua-bmw-serie-f-b48-2-0t-b58-3-0t/,,,,,,,,FALSE,500.00,,,,5.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/211/images/571/8131_3__39863.1729227693.386.513.png?c=1,,,FALSE,2,,,,
Image,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/211/images/572/8131_1__89612.1729227693.386.513.png?c=1,,,TRUE,0,,,,
Image,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/211/images/573/8131_2__14633.1729227693.386.513.png?c=1,,,FALSE,1,,,,
Image,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/211/images/574/8131_4__80734.1729227693.386.513.png?c=1,,,FALSE,3,,,,
Product,212,"Filtro de alto flujo BMW Serie F 1/2/3/4 B48 2.0T",physical,54-12922-C,,product,2,1,10050.00,0.00,0.00,8980.00,54,1;769857,245,"<p style=""text-align: justify;"">Filtro de aire alto de 7'':<br />Este sistema de admisi&oacute;n utiliza un filtro de aire de rendimiento de flujo radial de 360 ​​grados c&oacute;nico de 7'' de altura sin aceite con 5 capas de medios de algod&oacute;n de malla progresiva m&aacute;s fina que brindan el m&aacute;ximo flujo de aire y rendimiento.</p>
<p style=""text-align: justify;"">Tubo de alta calidad:<br />Este sistema utiliza un tubo de admisi&oacute;n de alta calidad ajustado por dinam&oacute;metro para lograr la m&aacute;xima ganancia de potencia mientras mantiene un ajuste perfecto.</p>
<p style=""text-align: justify;"">Cubierta con aspecto de fibra de carbono con entrada de aire auxiliar:<br />Esta cubierta con aspecto de fibra de carbono est&aacute; construida con pl&aacute;stico ABS ligero formado al vac&iacute;o para una apariencia debajo del cap&oacute;. Tambi&eacute;n se incluye un tap&oacute;n de uretano si desea bloquear la entrada de aire auxiliar.</p>
<p style=""text-align: justify;"">Instalaci&oacute;n sin complicaciones:<br />Todas las abrazaderas, el acoplamiento y el hardware est&aacute;n incluidos para una instalaci&oacute;n sin complicaciones. Este es un kit de montaje directo que no requiere cortar ni taladrar las piezas de f&aacute;brica.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>BMW 120i (F20) B48 Engine L4 2.0L (t) 2015-2018</li>
<li>BMW 120i (F21) B48 Engine L4 2.0L (t) 2015-2018</li>
<li>BMW 230i (F22) B46 Engine L4 2.0L (t) 2017-2021</li>
<li>BMW 230i xDrive (F22) B46 Engine L4 2.0L (t) 2017-2021</li>
<li>BMW 330i (F30) B46/B48 Engine, non US model L4 2.0L (t) 2016-2016</li>
<li>BMW 330i (F30) B46/B48 Engine L4 2.0L (t) Gas 2017-2018</li>
<li>BMW 330i GT xDrive (F34) B46/B48 Engine L4 2.0L (t) 2017-2019</li>
<li>BMW 330i xDrive (F30/F31) B46/B48 Engine, non US model L4 2.0L (t) 2016-2016</li>
<li>BMW 330i xDrive (F30/F31) B46/B48 Engine L4 2.0L (t) 2017-2019</li>
<li>BMW 430i (F32) B46/B48 Engine L4 2.0L (t) 2017-2020</li>
<li>BMW 430i Gran Coupe (F36) B46/B48 Engine L4 2.0L (t) 2017-2020</li>
<li>BMW 430i xDrive (F32) B46/B48 Engine L4 2.0L (t) 2017-2020</li>
<li>BMW 430i xDrive Gran Coupe (F36) B46/B48 Engine L4 2.0L (t) 2017-2020</li>
</ul>",,,/filtro-de-alto-flujo-bmw-serie-f-1-2-3-4-b48-2-0t/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/212/images/575/54-12922-C_1__85629.1729227694.386.513.jpg?c=1,,,TRUE,0,,,,
Image,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/212/images/576/54-12922-C_2__44412.1729227694.386.513.jpg?c=1,,,FALSE,1,,,,
Product,213,"Reprogramación Subaru BRZ 2.0L",physical,ETSUBARUBRZ,,none,5,1,14500.00,0.00,0.00,13050.00,64,1;769857,252,"<p align=""justify"">Reprogramaci&oacute;n de ECU para la mejora de combustible, ignici&oacute;n, nivel de presi&oacute;n de turbo y limitadores. Adicional se a&ntilde;aden las siguientes funciones: Cambio de 4 Mapas en Tiempo Real, Launch Control Ajustable con Mayor Presi&oacute;n de Turbo&nbsp; (en caso de serlo), Diferente Presi&oacute;n de Turbo por Velocidad, Cambio de Velocidad sin Soltar el Acelerador, Funci&oacute;n Autom&aacute;tica de Punta Tal&oacute;n, Funciones de Protecci&oacute;n FlexFuel para Utilizar Etanol.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Subaru BRZ 4L 2.0L 2012-2021</li>
</ul>",,,/reprogramacion-subaru-brz-2-0l/,,"Reprogramacion Tuning EcuTek RaceROM",,,,,,FALSE,0.00,,,,0.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/213/images/855/Subaru_BRZ__36400.1729227694.386.513.jpg?c=1,,,TRUE,1,,,,
Product,214,"Bomba de gasolina de 340LPH Subaru BRZ",physical,9-307-1010,,product,2,1,4310.00,0.00,0.00,3840.00,59,1;769857,243;307,"<p align=""justify"">Deatschwerks es una empresa profesional dedicada a crear soluciones para sistemas de combustible. Es por eso que cuando buscamos aumentar la potencia de nuestro Subaru, DW nos ofrece una bomba de gasolina de 340LPH (litros por hora) capaz de soportar etanol hasta un 85%, y adem&aacute;s incluye el kit de instalaci&oacute;n completo para actualizar los O-ring originales.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Subaru BRZ 4L 2.0 2012-2021</li>
</ul>",,,/bomba-de-gasolina-de-340lph-subaru-brz/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/214/images/579/9-307-1010__82415.1729227694.386.513.png?c=1,,,TRUE,0,,,,
Product,215,"Boost controller (EBCS) de 3 puertos",physical,TS-0301-3003,,product,2,1,3250.00,0.00,0.00,2900.00,39,1;769857,213,"<p align=""justify"">Si est&aacute; buscando un solenoide para controlar la presi&oacute;n del turbo, este kit de solenoide de 3 puertos es la soluci&oacute;n perfecta. Tambi&eacute;n es compatible con muchas estrategias de control de ECU del mercado de accesorios y deportes de motor. El kit de solenoide de 3 puertos de Turbosmart facilita la actualizaci&oacute;n de su controlador de impulso y mantiene su turbocompresor funcionando al m&aacute;ximo. As&iacute; que no esperes m&aacute;s; &iexcl;Ordene su kit de solenoide Turbosmart hoy!</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/boost-controller-ebcs-de-3-puertos/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/215/images/580/TS-0301-3003__98322.1729227695.386.513.png?c=1,,,TRUE,0,,,,
Product,216,"Wastegate externa GenV 7PSI de 40mm",physical,TS-0552-1002,,product,2,1,6720.00,0.00,0.00,6000.00,39,1;769857,213,"<p>La v&aacute;lvula de descarga externa GenV WG40 CompGate40 es una v&aacute;lvula de descarga externa rentable y probada en deportes de motor: la v&aacute;lvula de descarga de flujo m&aacute;s alto de su tipo. El GenV proporciona una amplia configuraci&oacute;n de usuario, rendimiento t&eacute;rmico extendido l&iacute;der en el mundo, resistencia a la fatiga y el mejor rendimiento de flujo de su clase para un control y una longevidad &oacute;ptimos.</p>
<p>El Wastegate externo GenV de Turbosmart fue una reelaboraci&oacute;n desde cero de un cl&aacute;sico, y la &uacute;nica caracter&iacute;stica que pas&oacute; de la gama Gen4 fue la orientaci&oacute;n de montaje. CFD optimizada y validada internamente para una gesti&oacute;n t&eacute;rmica y de flujo m&aacute;xima, la gama GenV tiene m&aacute;s funciones, opciones y rendimiento que cualquier otra puerta.</p>
<p>Una actualizaci&oacute;n de ajuste directo a todas las v&aacute;lvulas de descarga Gen4 Turbosmart y cuentan con nuestro exclusivo sistema de bloqueo de cuello, base y tapa de actuador variable para un enrutamiento opcional f&aacute;cil de 360 ​​grados de las mangueras de referencia, abrazaderas de banda en V tipo correa, provisi&oacute;n de refrigeraci&oacute;n l&iacute;quida opcional, 1 puertos de referencia NPT de /8&Prime; y cuentan con la gama completa de resortes disponibles.</p>
<p>Aplicaciones:</p>
<ul>
<li>Universal</li>
</ul>",,,/wastegate-externa-genv-7psi-de-40mm/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/216/images/581/TS-0552-1002__04102.1729227695.386.513.png?c=1,,,TRUE,0,,,,
Image,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/216/images/582/TS-0552-1002_2__75462.1729227695.386.513.png?c=1,,,FALSE,1,,,,
Product,217,"Filtro de alto flujo Mini Cooper S/JCW R56",physical,21-721C,,product,2,1,13840.00,0.00,0.00,12300.00,52,1;769857,244,"<p align=""justify"">El sistema de admisi&oacute;n de aire fr&iacute;o AEM 21-721C Performance produce ganancias de potencia y torsi&oacute;n al reemplazar el filtro de aire restrictivo de f&aacute;brica y la carcasa de admisi&oacute;n de aire de su veh&iacute;culo. Este sistema de admisi&oacute;n de aire fue dise&ntilde;ado, ajustado y probado con dinam&oacute;metro para adaptarse a modelos espec&iacute;ficos Mini Cooper S, S Clubman y John Cooper Works. El aire ingresa al sistema a trav&eacute;s de un filtro de aire lavable sint&eacute;tico AEM Dryflow de gran tama&ntilde;o para un flujo de aire, filtraci&oacute;n y rendimiento sobresalientes. El filtro de aire est&aacute; ubicado en el espacio de la caja de aire original y est&aacute; protegido por una caja de aire de reemplazo con una toma de aire en el cap&oacute; completamente abierta que est&aacute; dise&ntilde;ada para reducir la temperatura del aire de admisi&oacute;n y aumentar la potencia. El tubo de admisi&oacute;n est&aacute; fabricado con aluminio doblado con mandril y presenta un acabado duradero con recubrimiento de polvo negro. Este sistema de admisi&oacute;n de aire fue desarrollado para adaptarse a los dispositivos de control de emisiones de f&aacute;brica del motor, incluido el sensor de flujo de aire masivo y el puerto de la l&iacute;nea de vac&iacute;o. El filtro de aire AEM Dryflow con forma de cilindro est&aacute; hecho de un medio filtrante sint&eacute;tico sin aceite que se puede usar hasta 100,000 millas antes de que sea necesario limpiarlo (seg&uacute;n las condiciones de manejo). El sistema de admisi&oacute;n de aire est&aacute; respaldado por la garant&iacute;a limitada de por vida de AEM.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li>Mini Cooper S R56 4L 1.6T 2008-2013</li>
<li>Mini Cooper JCW R56 4L 1.6T 2008-2013</li>
</ul>",,,/filtro-de-alto-flujo-mini-cooper-s-jcw-r56/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/217/images/583/21-721C_1__61820.1729227695.386.513.png?c=1,,,TRUE,0,,,,
Image,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/217/images/584/21-721C_2__65165.1729227695.386.513.png?c=1,,,FALSE,1,,,,
Image,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/217/images/585/21-721C_3__37840.1729227695.386.513.png?c=1,,,FALSE,2,,,,
Product,218,"Solenoide para válvula de alivio Turbosmart",physical,TS-0301-2003,,product,2,1,2950.00,0.00,0.00,2630.00,39,1;769857,213,"<p style=""text-align: justify;"" align=""justify"">Si est&aacute; buscando un solenoide para controlar la presi&oacute;n del turbo, este kit de solenoide de 3 puertos es la soluci&oacute;n perfecta. Tambi&eacute;n es compatible con muchas estrategias de control de ECU del mercado de accesorios y deportes de motor. El kit de solenoide de 3 puertos de Turbosmart facilita la actualizaci&oacute;n de su controlador de impulso y mantiene su turbocompresor funcionando al m&aacute;ximo. As&iacute; que no esperes m&aacute;s; &iexcl;Ordene su kit de solenoide Turbosmart hoy!</p>
<p style=""text-align: justify;"" align=""justify"">Aplicaciones:</p>
<ul>
<li style=""text-align: justify;"">Universal</li>
</ul>",,,/solenoide-para-valvula-de-alivio-turbosmart/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/218/images/586/TS-0301-2003__05832.1729227696.386.513.png?c=1,,,TRUE,0,,,,
Product,219,"Boost controller tipo ""T"" universal",physical,TS-0101-1002,,product,2,1,2220.00,0.00,0.00,1980.00,39,1;769857,213,"<p style=""text-align: justify;"">Estos controladores de impulso manual m&aacute;s peque&ntilde;os y livianos ofrecen potencia de precisi&oacute;n, durabilidad y el mayor valor por su inversi&oacute;n. Los controladores en T de refuerzo Turbosmart son f&aacute;ciles de instalar y rentables para controlar la cantidad de presi&oacute;n que llega a su v&aacute;lvula de descarga a trav&eacute;s de su v&aacute;lvula de control de refuerzo cerrada. Construidos con lat&oacute;n y aluminio de alta calidad, estos controladores permiten un f&aacute;cil ajuste del impulso desde debajo del cap&oacute; con su sistema de retenci&oacute;n preciso y probado. &iexcl;Las camisetas de refuerzo debajo del cap&oacute; son ideales para muchas aplicaciones, desde leves hasta salvajes! Mejore su respuesta y rendimiento turbo con los controladores Turbosmart boost tee boost.</p>
<p style=""text-align: justify;"">Aplicaciones:</p>
<ul>
<li style=""text-align: justify;"">Universal</li>
</ul>",,,/boost-controller-tipo-t-universal/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/219/images/587/TS-0101-1002__37368.1729227696.386.513.png?c=1,,,TRUE,0,,,,
